Date and Time:                Fri Apr 13 12:59:06.838 2018
Software Version:             4.30.30034.0
Temperature (C):              -30
Model:                        DH334T-18U-03
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         2
Accumulate Cycle Time (secs): 2
Frequency (Hz):               0.5
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         true
Vertical Shift Speed (usecs): 6.5
Pixel Readout Rate (MHz):     0.05
461.92819	8625.82
461.93216	8686.8
461.93613	8727.77
461.94006	8763.45
461.94403	8799.4
461.948	8839.67
461.95197	8899.14
461.9559	8958.27
461.95987	9017.7
461.96384	9034.82
461.9678	9018.46
461.97174	9002.23
461.97571	8990.68
461.97968	9007.55
461.98361	9031.21
461.98758	9055.05
461.99155	9057.3
461.99551	9021.57
461.99945	8984.71
462.00342	8947.61
462.00739	8911.02
462.01135	8874.71
462.01529	8838.68
462.01926	8806.62
462.02322	8788.32
462.02719	8772.24
462.03113	8756.29
462.0351	8737.35
462.03906	8715.49
462.04303	8693.59
462.04697	8671.94
462.05093	8651.41
462.0549	8631.18
462.05887	8610.94
462.06281	8601.39
462.06677	8621.72
462.07074	8642.23
462.07471	8662.74
462.07864	8690
462.08261	8721.32
462.08658	8752.64
462.09052	8783.25
462.09448	8794.06
462.09845	8804.87
462.10242	8815.68
462.10635	8858.2
462.11032	8946.99
462.11429	9035.77
462.11826	9122.41
462.12219	9141.26
462.12616	9139.04
462.13013	9136.83
462.13409	9133.32
462.13803	9125.28
462.142	9116.96
462.14597	9108
462.14993	9069.67
462.15387	9007.23
462.15784	8944.31
462.1618	8890.55
462.16577	8885.61
462.16971	8893.58
462.17368	8901.62
462.17764	8894.84
462.18158	8863.72
462.18555	8831.02
462.18951	8798.84
462.19348	8776.51
462.19742	8759.18
462.20139	8741.72
462.20535	8718.73
462.20932	8676.3
462.21326	8631.47
462.21722	8586.29
462.22119	8542.18
462.22516	8499.22
462.2291	8456.58
462.23306	8413.79
462.23703	8377.16
462.241	8341.68
462.24493	8306.47
462.2489	8282.74
462.25287	8293.55
462.25684	8304.36
462.26077	8315.09
462.26474	8326.79
462.26871	8338.98
462.27267	8351.18
462.27661	8363.28
462.28058	8375.48
462.28455	8387.67
462.28848	8399.78
462.29245	8412.88
462.29642	8427.29
462.30038	8441.7
462.30432	8456.57
462.30829	8481.84
462.31226	8510.67
462.31622	8539.49
462.32016	8567.58
462.32413	8594.25
462.32809	8620.8
462.33206	8647.26
462.336	8670.05
462.33997	8690.01
462.34393	8709.97
462.3479	8729.05
462.35184	8743.49
462.3558	8756.79
462.35977	8770.1
462.36374	8779.44
462.36768	8782.3
462.37164	8784.8
462.37561	8785.73
462.37955	8740.14
462.38351	8672.5
462.38748	8604.87
462.39145	8557.27
462.39539	8587.3
462.39935	8626.93
462.40332	8666.57
462.40729	8686.6
462.41122	8685.77
462.41519	8684.94
462.41916	8684.11
462.42313	8708.58
462.42706	8736.63
462.43103	8764.9
462.435	8784.59
462.43896	8779.05
462.4429	8773.55
462.44687	8768
462.45084	8756.44
462.4548	8741.48
462.45874	8726.62
462.46271	8711.13
462.46667	8690.16
462.47064	8668.82
462.47458	8647.64
462.47855	8602.79
462.48251	8523.79
462.48645	8445.41
462.49042	8369.84
462.49438	8337.92
462.49835	8322.68
462.50229	8307.55
462.50626	8289.69
462.51022	8264.33
462.51419	8238.28
462.51813	8212.67
462.52209	8196.02
462.52606	8187.15
462.53003	8178.28
462.53397	8174.21
462.53793	8194.44
462.5419	8221.33
462.54587	8248.21
462.5498	8257.02
462.55377	8236.86
462.55774	8214.96
462.56171	8193.27
462.56564	8206.63
462.56961	8234.07
462.57358	8261.51
462.57751	8283.19
462.58148	8279.9
462.58545	8274.36
462.58942	8268.81
462.59335	8273.79
462.59732	8289.87
462.60129	8305.94
462.60526	8322.02
462.60919	8326.41
462.61316	8329.18
462.61713	8331.95
462.62109	8337.92
462.62503	8352.77
462.629	8367.74
462.63297	8382.7
462.63693	8430.81
462.64087	8496.54
462.64484	8562.79
462.6488	8621.72
462.65277	8626.71
462.65671	8626.44
462.66068	8626.16
462.66464	8656.74
462.66861	8730.75
462.67255	8804.19
462.67651	8876.01
462.68048	8926.71
462.68442	8968.51
462.68839	9010.65
462.69235	9056.69
462.69632	9112.83
462.70026	9169.64
462.70422	9226.35
462.70819	9234.72
462.71216	9203.96
462.71609	9173.42
462.72006	9140.54
462.72403	9095.63
462.728	9047.68
462.73193	9000.09
462.7359	8958.49
462.73987	8927.79
462.74384	8897.58
462.74777	8867.6
462.75174	8805.66
462.75571	8731.1
462.75967	8656.53
